Discription_ID,Category_Name,Category_Dsc 
1,News,Information about current events This may be provided through many different media
2,Sports,Athletic activity requiring skill or physical prowess usually competitive in nature 
3,Kids,A form of activity that holds the attention and interest of the kids and gives delight
4,Entertainment ,A form of activity that holds the attention and interest of an audience or gives pleasure 
5,Fashion and Beauty,The style or styles of clothing and accessories worn at any given time by groups of people
6,Funny Animals and Birds,Hilarious movements and activities of both animals and birds
7,Gameplay,Live streaming of gameplays or historical gameplay videos
8,Product Review,Unboxing of products of any kind or comparison of different products with their specifications
9,Vlogs,A type of content where a person shows his or her acitivities
10,Education,Discipline that is concerned with methods of teaching and learning in schoollike environments
